Keys,Values
Tên TCPH:,"
Tổng Công ty Hàng hải Việt Nam – CTCP
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty Hàng hải Việt Nam – CTCP
Mã chứng khoán:,MVN
Mã ISIN:,VN000000MVN8
Loại chứng khoán:,Cổ phiếu phổ  thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 05/2021/GCNCP-VSD do VSD cấp lần đầu ngày 04/02/2021
Tổng số chứng khoán đăng ký:,1.200.588.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,12.005.880.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
