Keys,Values
Tên TCPH:,"
Trung tâm Nông nghiệp Mùa Xuân
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Nông nghiệp Mùa Xuân Hậu Giang
Mã chứng khoán:,MXC
Mã ISIN:,VN000000MXC7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 09/CPH/2020/GCNCP-VSD do VSD cấp lần đầu ngày 25/11/2020
Tổng số chứng khoán đăng ký:,700.938 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,7.009.380.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
