Keys,Values
Tên TCPH:,"
CTCP Bến xe Nghệ An
"
Tên chứng khoán:,Cổ phiếu CTCP Bến xe Nghệ An
Mã chứng khoán:,NBS
Mã ISIN:,VN000000NBS7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 45/2009/GCNCP-VSD-2 do Trung tâm Lưu ký Chứng khoán Việt Nam cấp lần đầu ngày 20/08/2009, cấp thay đổi lần thứ 2 ngày 05/10/2011"
Tổng số chứng khoán đăng ký:,3.153.200 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,31.532.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
