Keys,Values
Tên TCPH:,"
Công ty cổ phần Nhựa Hà Nội
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Nhựa Hà Nội
Mã chứng khoán:,NHH
Mã ISIN:,VN000000NHH7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 107/2017/GCNCP-VSD do VSD cấp lần đầu ngày 29/05/2017, Số 107/2017/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 22/12/2020"
Tổng số chứng khoán đăng ký:,36.440.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,364.400.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
