Keys,Values
Tên TCPH:,"
Công ty cổ phần Sản xuất Xuất nhập khẩu NHP
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Sản xuất Xuất nhập khẩu NHP
Mã chứng khoán:,NHP
Mã ISIN:,VN000000NHP0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 10/2015/GCNCP-VSD do VSD cấp lần đầu ngày 29/1/2015, Số 10/2015/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 15/09/2016"
Tổng số chứng khoán đăng ký:,27.576.490 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,275.764.900.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
