Keys,Values
Tên TCPH:,"
Công ty Cổ phần Đường Ninh Hòa
"
Tên chứng khoán:,Cổ phiếu công ty Cổ phần Đường Ninh Hòa
Mã chứng khoán:,NHS
Mã ISIN:,VN000000NHS4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 140/2010/GCNCP-VSD-3 do TTLKCK Việt Nam cấp lần đầu ngày 24/06/2010, thay đổi lần thứ 3 ngày 27/01/2014"
Tổng số chứng khoán đăng ký:,60.750.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,607.500.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
