Keys,Values
Tên TCPH:,"
Công ty cổ phần Sản xuất và Thương mại Nam Hoa
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Sản xuất và Thương mại Nam Hoa
Mã chứng khoán:,NHT
Mã ISIN:,VN000000NHT2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 62/2017/GCNCP-VSD do VSD cấp lần đầu ngày 09/03/2017, Số:  62/2017/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 23/02/2022"
Tổng số chứng khoán đăng ký:,18.488.896 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,184.888.960.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
