Keys,Values
Tên TCPH:,"
Công ty cổ phần Sức khỏe Hồi sinh Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Sức khỏe Hồi sinh Việt Nam
Mã chứng khoán:,NHV
Mã ISIN:,VN000000NHV8
Loại chứng khoán:, Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 166/2016/GCNCP-VSD do VSD cấp lần đầu ngày 01/12/2016, số 166/2016/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 30/11/2017"
Tổng số chứng khoán đăng ký:,3.223.600 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,32.236.000.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
