Keys,Values
Tên TCPH:,"
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo
"
Tên chứng khoán:,Trái phiếu NPMPO2022_01
Mã chứng khoán:,NPM11907
Mã ISIN:,VN0NPM119078
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số:  52/2019/GCNTP-VSD do VSD cấp ngày 10/12/2019
Tổng số chứng khoán đăng ký:,2.100.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,210.000.000.000 đồng
Hình thức phát hành:,Trái phiếu được phát hành ra công chúng thông qua phương thức bảo lãnh phát hành theo hình thức cố gắng tối đa
Lãi suất:,"Lãi suất kết hợp giữa lãi suất thả nổi và lãi suất cố định. Cụ thể:
+ Lãi suất đối với 02 kỳ tính lãi đầu tiên: 10,0%/năm;
+ Lãi suất cho mỗi kỳ tính lãi sau 02 kỳ tính lãi đầu tiên: Tổng của 3,10%/năm và lãi suất tham chiếu. Trong đó, lãi suất tham chiếu là trung bình cộng của các mức lãi suất tiền gửi tiết kiệm cá nhân (trả lãi sau) kỳ hạn 12 tháng (hoặc tương đương) bằng đồng Việt Nam do Ngân hàng TMCP Công thương Việt Nam - Chi nhánh thành phố Hà Nội, Ngân hàng TMCP Ngoại thương Việt Nam - Sở Giao dịch, Ngân hàng Nông nghiệp & PTNN Việt Nam - Sở Giao dịch và Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 1 công bố vào hoặc vào khoảng 11:00 giờ sáng (giờ Việt Nam) ngày xác định lãi suất của Kỳ tính lãi đó."
Cách thức trả lãi:,Chuyển khoản
Kỳ hạn:,03 năm
Ngày phát hành:,31/10/2019
Ngày đáo hạn:,31/10/2022
Nơi quản lý tại VSD:,Trụ sở chính
