Keys,Values
Tên TCPH:,"
Công ty Cổ phần Xây dựng 565
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Xây dựng 565
Mã chứng khoán:,NSN
Mã ISIN:,VN000000NSN2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,"Số 102/2010/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 22/04/2010, Số 102/2010/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 29/09/2010"
Tổng số chứng khoán đăng ký:,2.959.314 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,29.593.140.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
