Keys,Values
Tên TCPH:,"
Công ty cổ phần Môi trường Đô thị  Nha Trang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Môi trường Đô thị Nha Trang
Mã chứng khoán:,NUE
Mã ISIN:,VN000000NUE7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 213/2016/GCNCP-VSD do VSD cấp lần đầu ngày 26/12/2016
Tổng số chứng khoán đăng ký:,6.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,60.000.000.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
