Keys,Values
Tên TCPH:,"
Công ty cổ phần Nhà Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Nhà Việt Nam
Mã chứng khoán:,NVN
Mã ISIN:,VN000000NVN6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 29/2010/GCNCP-CNVSD do TTLKCK Việt Nam cấp ngày 11/02/2010
Tổng số chứng khoán đăng ký:,10.656.800 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,106.568.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
