Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE
Mã chứng khoán:,ODE
Mã ISIN:,VN000000ODE1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 51/2021/GCNCP-VSD do VSD cấp lần đầu ngày 17/12/2021
Tổng số chứng khoán đăng ký:,10.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,100.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
