Keys,Values
Tên TCPH:,"
Công ty cổ phần tập đoàn Đại Dương
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần tập đoàn Đại Dương
Mã chứng khoán:,OGC
Mã ISIN:,VN000000OGC8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 59/2010/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 15/04/2010, số 59/2010/GCNCP-VSD-1 cấp thay đổi lần thứ nhất ngày 22/12/2011"
Tổng số chứng khoán đăng ký:,300.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.000.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
