Keys,Values
Tên TCPH:,"
Công ty cổ phần Cơ khí Điện Lực
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cơ khí Điện Lực
Mã chứng khoán:,PEC
Mã ISIN:,VN000000PEC0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 203/2010/GCNCP-VSD do VSD cấp ngày 19/08/2010, Số 203/2010/GCNCP-VSD -3 cấp thay đổi lần 3 ngày 08/11/2017"
Tổng số chứng khoán đăng ký:,3.115.409 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,31.154.090.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
