Keys,Values
Tên TCPH:,"
Tổng Công ty Phát điện 3 - Công ty cổ phần
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty Phát điện 3 - Công ty cổ phần
Mã chứng khoán:,PGV
Mã ISIN:,VN000000PGV5
Loại chứng khoán:,Cổ phiếu phổ  thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 12CPH/2018/GCNCP-VSD do VSD cấp ngày 14/03/2018, Số:  13/2019/GCNCP-VSD cấp lại ngày 15/03/2019; Số:  13/2019/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 31/08/2021"
Tổng số chứng khoán đăng ký:,1.123.468.046 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,11.234.680.460.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
