Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Điện lực 3
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Điện lực 3
Mã chứng khoán:,PIC
Mã ISIN:,VN000000PIC1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 306/2010/GCNCP-VSD do VSD cấp lần đầu ngày 28/12/2010, số 306/2010/GCNCP-VSD-6 cấp thay đổi lần 6 ngày 22/08/2019"
Tổng số chứng khoán đăng ký:,33.339.891 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,333.398.910.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
