Keys,Values
Tên TCPH:,"
Công ty cổ phần vận tải  xăng dầu đường thuỷ Petrolimex
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần vận tải xăng dầu đường thuỷ Petrolimex
Mã chứng khoán:,PJT
Mã ISIN:,VN000000PJT3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 79/2006/GCNCP-CNTTLK do VSD cấp lần đầu ngày 21/12/2006, Số 079/2006/GCNCP-VSD-6 cấp thay đổi lần 6 ngày 20/10/2021"
Tổng số chứng khoán đăng ký:,23.040.717 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,230.407.170.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
