Keys,Values
Tên TCPH:,"
Tập đoàn Xăng dầu Việt Nam
"
Tên chứng khoán:,Cổ phiếu Tập đoàn Xăng dầu Việt Nam
Mã chứng khoán:,PLX
Mã ISIN:,VN000000PLX1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 35/2016/GCNCP-VSD do VSD cấp ngày 25/04/2016, số 35/2016/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 17/08/2016"
Tổng số chứng khoán đăng ký:,1.293.878.081 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,12.938.780.810.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
