Keys,Values
Tên TCPH:,"
Công ty Cổ phần Dược phẩm dược liệu Pharmedic
"
Tên chứng khoán:,Cổ phiếu CTCP Dược phẩm dược liệu Pharmedic
Mã chứng khoán:,PMC
Mã ISIN:,VN000000PMC3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 58/2009/GCNCP-VSD-1 do TTLKCK Việt Nam cấp lần đầu ngày 18/09/2009, cấp sửa đổi lần 1 ngày 15/03/2013"
Tổng số chứng khoán đăng ký:,9.332.573 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,93.325.730.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
