Keys,Values
Tên TCPH:,"
Công ty cổ phần Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí biển PTSC
"
Tên chứng khoán:,"Cổ phiếu Công ty cổ phần Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí biển PTSC"
Mã chứng khoán:,POS
Mã ISIN:,VN000000POS5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 115/2016/GCNCP-VSD do VSD cấp lần đầu ngày 04/10/2016
Tổng số chứng khoán đăng ký:,40.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,400.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
