Keys,Values
Tên TCPH:,"
Công ty  TNHH Quản lý Quỹ EASTSPRING INVESTMENTS
"
Tên chứng khoán:,Chứng chỉ Quỹ đầu tư cân bằng Prudential
Mã chứng khoán:,PRUBF1
Mã ISIN:,VN000PRUBF19
Loại chứng khoán:,Chứng chỉ quỹ
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận đăng ký chứng chỉ quỹ:,02/2006/GCNCCQ-VSD-1 ngày 31/01/2012 do TTLKCKVN cấp lần đầu ngày 23/11/2006 và cấp thay đổi lần 1 ngày 31/01/2012
Tổng số chứng khoán đăng ký:,50.000.000 Chứng chỉ quỹ
Tổng giá trị chứng khoán đăng ký:,500.000.000.000 đồng
Hình thức đăng ký:,
Nơi quản lý tại VSD:,Chi nhánh
