Keys,Values
Tên TCPH:,"
Công ty cổ phần Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hóa
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hóa
Mã chứng khoán:,PSN
Mã ISIN:,VN000000PSN7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 122/2016/GCNCP-VSD do VSD cấp lần đầu ngày 18/10/2016
Tổng số chứng khoán đăng ký:,40.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,400.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
