Keys,Values
Tên TCPH:,"
Công ty cổ phần Xây lắp Dầu khí Thanh Hóa
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Xây lắp Dầu khí Thanh Hóa
Mã chứng khoán:,PVH
Mã ISIN:,VN000000PVH3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 179/2016/GCNCP-VSD do VSD cấp lần đầu ngày 08/12/2016
Tổng số chứng khoán đăng ký:,21.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,210.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
