Keys,Values
Tên TCPH:,"
Công ty cổ phần Vinaconex 39
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Vinaconex 39
Mã chứng khoán:,PVV
Mã ISIN:,VN000000PVV4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 208/2010/GCNCP-VSD do VSD cấp lần đầu ngày 20/8/2010, Số 208/2010/GCNCP-VSD-2 do VSD cấp thay đổi lần thứ 2 ngày 21/8/2017"
Tổng số chứng khoán đăng ký:,30.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,300.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
