Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Thương mại Dầu khí Nghệ An
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Thương mại Dầu khí Nghệ An
Mã chứng khoán:,PXA
Mã ISIN:,VN000000PXA4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 13/2011/GCNCP-VSD do VSD cấp lần đầu ngày 15/02/2011, Số 13/2011/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 25/03/2011"
Tổng số chứng khoán đăng ký:,15.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,150.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
