Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu CP BLPH(NHPT) kỳ hạn 5 năm
Mã chứng khoán:,QH061118
Mã ISIN:,VN0QH0611181
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,46/2006/GCNTP-TTLK ngày 27/9/2006
Tổng số chứng khoán đăng ký:,13.500.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.350.000.000.000 đồng
Hình thức phát hành:,
Lãi suất:,"8,40%/năm"
Cách thức trả lãi:,
Kỳ hạn:,5 năm
Ngày phát hành:,13/09/2006
Ngày đáo hạn:,13/09/2011
Nơi quản lý tại VSD:,Trụ sở chính
