Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu Chính phủ BLPH
Mã chứng khoán:,QHB1013027
Mã ISIN:,VNBB10130276
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,
Tổng số chứng khoán đăng ký:,20.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,2.000.000.000.000 đồng
Hình thức phát hành:,
Lãi suất:,11.7%/năm
Cách thức trả lãi:,
Kỳ hạn:,3 năm
Ngày phát hành:,20/04/2010
Ngày đáo hạn:,20/04/2013
Nơi quản lý tại VSD:,Trụ sở chính
