Keys,Values
Tên TCPH:,"
Công ty cổ phần Môi trường Đô thị Quảng Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Môi trường Đô thị Quảng Nam
Mã chứng khoán:,QNU
Mã ISIN:,VN000000QNU1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 204/2016/GCNCP-VSD do VSD cấp lần đầu ngày 21/12/2016
Tổng số chứng khoán đăng ký:,6.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,68.000.000.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
