Keys,Values
Tên TCPH:,"
Công ty cổ phần Cấp thoát nước và xây dựng Quảng Ngãi
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cấp thoát nước và xây dựng Quảng Ngãi
Mã chứng khoán:,QNW
Mã ISIN:,VN000000QNW7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 96/2016/GCNCP-VSD do VSD cấp lần đầu ngày 13/09/2016, Số 96/2016/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 23/10/2017"
Tổng số chứng khoán đăng ký:,20.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,200.000.000.000 đồng
Hình thức đăng ký:, Ghi sổ 
Nơi quản lý tại VSD:,Trụ sở chính
