Keys,Values
Tên TCPH:,"
Công ty cổ phần địa ốc Chợ lớn
"
Tên chứng khoán:,Cổ phiếu CTCP Địa ốc Chợ Lớn
Mã chứng khoán:,RCL
Mã ISIN:,VN000000RCL1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 01/2010/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 11/04/2007,Số 01/2010/GCNCP-VSD-6 cấp thay đổi lần 6 ngày 25/12/2019"
Tổng số chứng khoán đăng ký:,12.598.930 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,125.989.300.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
