Keys,Values
Tên TCPH:,"
CTCP Cơ điện lạnh
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Cơ điện lạnh
Mã chứng khoán:,REE
Mã ISIN:,VN000000REE2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 01/2000/GCNCP-VSD- 14 cấp lần đầu ngày 17/7/2000, số 01/2000/GCNCP-VSD- 16 do VSD cấp thay đổi lần 16 ngày 03/06/2016"
Tổng số chứng khoán đăng ký:,310.058.841 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.100.588.410.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
