Keys,Values
Tên TCPH:,"
Công ty cổ phần Sông Đà 9.06
"
Tên chứng khoán:,Cổ phiếu CTCP Sông Đà 9.06
Mã chứng khoán:,S96
Mã ISIN:,VN000000S966
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 34/2007/GCNCP-TTLK do VSD cấp lần đầu ngày 26/12/2007, Số 34/2007/GCNCP-VSD-2 do VSD cấp thay đổi lần thứ 2 ngày 16/09/2011"
Tổng số chứng khoán đăng ký:,11.155.532 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,111.555.320.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
