Keys,Values
Tên TCPH:,"
Công ty cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất
Mã chứng khoán:,SAS
Mã ISIN:,VN000000SAS8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:," Số 16/2015/GCNCP-VSD do VSD cấp lần đầu ngày 26/3/2015, số 16/2015/GCNCP-VSD-1, cấp thay đổi lần 1 ngày 26/9/2017"
Tổng số chứng khoán đăng ký:,133.481.310 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.334.813.100.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
