Keys,Values
Tên TCPH:,"
CTCP Hợp tác Kinh tế & XNK SAVIMEX
"
Tên chứng khoán:,Cổ phiếu CTCP Hợp tác Kinh tế & Xuất nhập khẩu SAVIMEX
Mã chứng khoán:,SAV
Mã ISIN:,VN000000SAV2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 13/GCN/TTGD-LK do TTLKCK Việt Nam cấp ngày 06/05/2002, số 94/2007/GCNCP-VSD-10 cấp thay đổi lần 10 ngày 11/06/2021"
Tổng số chứng khoán đăng ký:,16.019.967 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,160.199.670.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
