Keys,Values
Tên TCPH:,"
Công ty cổ phần Công nghệ Sao Bắc Đẩu
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Công nghệ Sao Bắc Đẩu
Mã chứng khoán:,SBD
Mã ISIN:,VN000000SBD8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 131/2016/GCNCP-VSD do VSD cấp lần đầu ngày 31/10/2016, Số:  131/2016/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 26/08/2019"
Tổng số chứng khoán đăng ký:,11.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,115.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
