Keys,Values
Tên TCPH:,"
Công ty cổ phần Cao su Sông Bé
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cao su Sông Bé
Mã chứng khoán:,SBR
Mã ISIN:,VN000000SBR8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 13CPH/2018/GCNCP-VSD do VSD cấp ngày 04/6/2019, số 48/2020/GCNCP-VSD cấp thay đổi ngày 28/07/2020"
Tổng số chứng khoán đăng ký:,81.396.192 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,813.961.920.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
