Keys,Values
Tên TCPH:,"
Công ty Cổ phần Thành Thành Công-Biên Hòa
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Thành Thành Công –Biên Hòa
Mã chứng khoán:,SBT
Mã ISIN:,VN000000SBT4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 23/2008/GCNCP-CNVSD do TTLKCK Việt Nam cấp lần đầu ngày 14/02/2008, Số: 23/2008/GCNCP-VSD-11 cấp thay đổi lần 11 ngày 14/09/2021"
Tổng số chứng khoán đăng ký:,650.762.228 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,6.507.622.280.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
