Keys,Values
Tên TCPH:,"
Công ty cổ phần SCI E&C
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần SCI E&C
Mã chứng khoán:,SCI
Mã ISIN:,VN000000SCI5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 36/2014/GCNCP-VSD do VSD cấp lần đầu ngày 29/05/2014, Số 36/2014/GCNCP-VSD-4 thay đổi lần 4 ngày 25/07/2019"
Tổng số chứng khoán đăng ký:,25.409.847 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,254.098.470.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
