Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Xây lắp Sông Đà
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Xây lắp Sông Đà
Mã chứng khoán:,SDD
Mã ISIN:,VN000000SDD4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 07/2008/GCNCP-TTLK do VSD cấp lần đầu ngày 11/01/2008, Số 07/2008/GCNCP-VSD-5 cấp thay đổi lần thứ 5 ngày 06/12/2011"
Tổng số chứng khoán đăng ký:,16.007.685 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,160.076.850.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
