Keys,Values
Tên TCPH:,"
Công ty cổ phần Sadico Cần Thơ
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Sadico Cần Thơ
Mã chứng khoán:,SDG
Mã ISIN:,VN000000SDG7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 106/2009/GCNCP-VSD do VSD cấp lần đầu ngày 10/12/2009, số 106/2009/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 14/04/2021"
Tổng số chứng khoán đăng ký:,10.139.997 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,101.399.970.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
