Keys,Values
Tên TCPH:,"
Công ty Cổ phần Đại lý Vận tải SAFI
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Đại lý Vận tải SAFI
Mã chứng khoán:,SFI
Mã ISIN:,VN000000SFI8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 86/2006/GCNCP-VSD do VSD cấp lần đầu ngày 22/12/2006, Số:  86/2006/GCNCP-VSD-14 cấp thay đổi lần 14 ngày 03/06/2021"
Tổng số chứng khoán đăng ký:,15.753.069 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,157.530.690.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
