Keys,Values
Tên TCPH:,"
Công ty cổ phần Xuất nhập khẩu Sa Giang
"
Tên chứng khoán:,cổ phiếu CTCP Xuất nhập khẩu Sa Giang
Mã chứng khoán:,SGC
Mã ISIN:,VN000000SGC9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 25/2006/GCNCP-VSD -3 do TTLKCK Việt Nam cấp thay đổi lần 3 ngày 17/08/2011
Tổng số chứng khoán đăng ký:,7.147.580 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,71.475.800.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
