Keys,Values
Tên TCPH:,"
Công ty Cổ phần Đầu tư Thương mại SMC
"
Tên chứng khoán:,Cổ phiếu CTCP Đầu tư Thương mại SMC
Mã chứng khoán:,SMC
Mã ISIN:,VN000000SMC7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 33/2006/GCNCP-CNVSD do VSD cấp lần đầu ngày 17/10/2006, số 33/2006/GCNCP-VSD- Lần 9 cấp thay đổi lần 9 ngày 21/08/2019"
Tổng số chứng khoán đăng ký:,60.994.691 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,609.946.910.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
