Keys,Values
Tên TCPH:,"
Tổng Công ty cổ phần Phát triển khu công nghiệp
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty cổ phần Phát triển khu công nghiệp
Mã chứng khoán:,SNZ
Mã ISIN:,VN000000SNZ6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 166/2017/GCNCP-VSD do VSD ngày 24/08/2017
Tổng số chứng khoán đăng ký:,376.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.765.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
