Keys,Values
Tên TCPH:,"
Công ty Cổ phần Chứng khoán SSI
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Chứng khoán SSI
Mã chứng khoán:,SSI
Mã ISIN:,VN000000SSI1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 35/2006/GCNCP-TTLK do VSD cấp lần đầu ngày 13/12/2006, Số 35/2006/GCNCP-VSD-21 cấp thay đổi lần 22 ngày 08/03/2022"
Tổng số chứng khoán đăng ký:,994.750.022 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,9.947.500.220.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
