Keys,Values
Tên TCPH:,"
Công ty cổ phần Chế tạo Kết cấu thép VNECO.SSM
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Chế tạo Kết cấu thép VNECO.SSM
Mã chứng khoán:,SSM
Mã ISIN:,VN000000SSM3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"45/2008/GCNCP-TTLK do Trung tâm Lưu ký chứng khoán Việt Nam cấp lần đầu ngày 17/10/2008, số 45/2008/GCNCP-VSD-3 cấp thay đổi lần thứ 3 ngày 23/2/2011"
Tổng số chứng khoán đăng ký:,5.501.024 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,55.010.240.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
