Keys,Values
Tên TCPH:,"
Công ty cổ phần Thương mại Bia Sài Gòn Sông Tiền
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thương mại Bia Sài Gòn Sông Tiền
Mã chứng khoán:,SST
Mã ISIN:,VN000000SST8
Loại chứng khoán:, Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 210/2017/GCNCP-VSD do VSD cấp ngày 7/11/2017
Tổng số chứng khoán đăng ký:,4.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,40.000.000.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
