Keys,Values
Tên TCPH:,"
Công ty cổ phần Phát hành sách Thái Nguyên
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Phát hành sách Thái Nguyên
Mã chứng khoán:,STH
Mã ISIN:,VN000000STH1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 03/2020/GCNCP-VSD do VSD cấp ngày 06/01/2020; số 03/2020/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 15/10/2020
Tổng số chứng khoán đăng ký:,19.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,195.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
