Keys,Values
Tên TCPH:,"
CTCP Dịch vụ Tổng hợp Sài Gòn
"
Tên chứng khoán:,Cổ phiếu CTCP Dịch vụ Tổng hợp Sài Gòn
Mã chứng khoán:,SVC
Mã ISIN:,VN000000SVC8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 46/2006/GCNCP-TTLK do TTLKCK Việt Nam cấp ngày 18/12/2006; số 46/2006/GCNCP-VSD-4 cấp thay đổi lần 04 ngày 12/10/2020 
Tổng số chứng khoán đăng ký:,33.320.532 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,333.205.320.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
