Keys,Values
Tên TCPH:,"
Công ty Cổ phần Dầu thực vật Tường An
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Dầu thực vật Tường An
Mã chứng khoán:,TAC
Mã ISIN:,VN000000TAC0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 76/2006/GCNCP-CNTTLK do TTLKCK Việt Nam cấp ngày 20/12/2006, Số 76/2006/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 5/10/2017"
Tổng số chứng khoán đăng ký:,33.879.648 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,338.796.480.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
