Keys,Values
Tên TCPH:,"
Công ty cổ phần Sản xuất và  kinh doanh Vật tư  Thiết bị - VVMI
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Sản xuất và kinh doanh Vật tư Thiết bị - VVMI
Mã chứng khoán:,TB8
Mã ISIN:,VN000000TB83
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 146/2016/GCNCP-VSD do VSD cấp lần đầu ngày 22/11/2016
Tổng số chứng khoán đăng ký:,1.250.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,12.500.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
