Keys,Values
Tên TCPH:,"
Công ty Cổ phần Than Cọc Sáu - Vinacomin
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Than Cọc Sáu - Vinacomin
Mã chứng khoán:,TC6
Mã ISIN:,VN000000TC66
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 20/2008/GCNCP-VSD do VSD cấp lần đầu ngày 21/03/2008, Số 20/2008/GCNCP-VSD-3 cấp thay đổi lần thứ 3 ngày 15/08/2016"
Tổng số chứng khoán đăng ký:,32.496.105 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,324.961.050.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
