Keys,Values
Tên TCPH:,"
Công ty cổ phần Kho vận Tân Cảng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Kho vận Tân Cảng
Mã chứng khoán:,TCW
Mã ISIN:,VN000000TCW4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 55/2017/GCNCP-VSD do VSD cấp lần đầu ngày 27/02/2017, số 55/2017/GCNCP-VSD-01 cấp thay đổi lần thứ 01 ngày 16/04/2020"
Tổng số chứng khoán đăng ký:,19.991.020 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,199.910.200.000 đồng
Hình thức đăng ký:, Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
