Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ đấu thầu đợt 16/2013
Mã chứng khoán:,TD1316014
Mã ISIN:,VNTD13160146
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,"Số 22/2013/GCNTP-VSD VSD cấp lần đầu ngày 15/03/2013, Số 22/2013/GCNTP-VSD-2 cấp thay đổi lần thứ 2 ngày 24/04/2013"
Tổng số chứng khoán đăng ký:,59.900.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,5.990.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"8,4%/năm"
Cách thức trả lãi:,"Tiền gốc trái phiếu được thanh toán 01 lần khi đến hạn, tiền lãi trái phiếu được thanh toán định kỳ hàng năm vào ngày 15/03 từ năm 2014 đến năm đáo hạn."
Kỳ hạn:,3 năm
Ngày phát hành:,15/03/2013
Ngày đáo hạn:,15/03/2016
Nơi quản lý tại VSD:,Trụ sở chính
