Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Phát triển TDT
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Phát triển TDT
Mã chứng khoán:,TDT
Mã ISIN:,VN000000TDT8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 18/2018/GCNCP-VSD do VSD cấp ngày 02/04/2018, Số 18/2018/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 30/7/2020"
Tổng số chứng khoán đăng ký:,21.336.732 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,213.367.320.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
