Keys,Values
Tên TCPH:,"
Công ty cổ phần Phát triển công trình Viễn thông
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Phát triển công trình Viễn thông
Mã chứng khoán:,TEL
Mã ISIN:,VN000000TEL3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 31/2017/GCNCP-VSD do VSD cấp lần đầu ngày 24/01/2017
Tổng số chứng khoán đăng ký:,5.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,50.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
