Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Xây dựng Tiền Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Xây dựng Tiền Giang
Mã chứng khoán:,THG
Mã ISIN:,VN000000THG6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 28/2011/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 22/04/2011, Số 28/2011/GCNCP-VSD-5 cấp thay đổi lần 5 ngày 09/08/2021"
Tổng số chứng khoán đăng ký:,15.971.306 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,159.713.060.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
