Keys,Values
Tên TCPH:,"
Công ty Cổ phần Đầu tư Điện Tây Nguyên
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Đầu tư Điện Tây Nguyên
Mã chứng khoán:,TIC
Mã ISIN:,VN000000TIC3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 077/2009/GCNCP-CNVSD do TTLKCK Việt Nam cấp ngày 23/09/2009
Tổng số chứng khoán đăng ký:,24.656.988 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,246.569.880.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
