Keys,Values
Tên TCPH:,"
Công ty cổ phần Kinh doanh Than Miền Bắc - Vinacomin
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Kinh doanh Than Miền Bắc - Vinacomin
Mã chứng khoán:,TMB
Mã ISIN:,VN000000TMB7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 138/2016/GCNCP-VSD do VSD cấp lần đầu ngày 07/11/2016, Số 138/2016/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 12/9/2019"
Tổng số chứng khoán đăng ký:,15.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,150.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
