Keys,Values
Tên TCPH:,"
Công ty Cổ phần In Sách Giáo khoa tại Tp.Hà Nội
"
Tên chứng khoán:,Cổ Phiếu Công ty Cổ phần In Sách Giáo khoa tại Tp.Hà Nội
Mã chứng khoán:,TPH
Mã ISIN:,VN000000TPH7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 39/2006/GCNCP-TTLK do VSD cấp lần đầu ngày 14/12/2006, Số 39/2006/GCNCP-TTLK-3 cấp thay đổi lần 3 ngày 23/10/2020"
Tổng số chứng khoán đăng ký:,2.095.985 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,20.959.850.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
