Keys,Values
Tên TCPH:,"
Công ty cổ phần Vận tải và Dịch vụ Hàng hải
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Vận tải và Dịch vụ Hàng hải
Mã chứng khoán:,TRS
Mã ISIN:,VN000000TRS0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 66/2015/GCNCP-VSD do VSD cấp lần đầu ngày 06/08/2015, Số: 66/2015/GCNCP-VSD-6 cấp thay đổi lần 6 ngày 18/02/2022"
Tổng số chứng khoán đăng ký:,4.548.413 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,45.484.130.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
