Keys,Values
Tên TCPH:,"
Công ty TNHH Một Thành viên 145 (Tên doanh nghiệp dự kiến sau khi cổ phần hóa: Công ty cổ phần Trường Sơn 145)
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Trường Sơn 145
Mã chứng khoán:,TS5
Mã ISIN:,VN000000TS50
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 01 CPH/2018/GCNCP-VSD do VSD cấp ngày 09/01/2018
Tổng số chứng khoán đăng ký:,314.122 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.141.220.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
