Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Xây dựng và Công nghệ Tiến Trung
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Xây dựng và Công nghệ Tiến Trung
Mã chứng khoán:,TTZ
Mã ISIN:,VN000000TTZ1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 28/2012/GCNCP-VSD do VSD cấp lần đầu ngày 09/10/2012, Số 28/2012/GCNCP-VSD-4  cấp thay đổi lần thứ 4 ngày 17/09/2018"
Tổng số chứng khoán đăng ký:,7.570.444 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,75.704.440.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
